Traffic_ID,Location_ID,Device_ID,Vehicle_Count,Average_Speed,Accident_Reports,Congestion_Level,Timestamp
T001,DHAKA1,SENSOR021,120,45.50,1,Moderate,"2024-12-07 15:00:00"
T002,DHAKA2,SENSOR022,200,40.30,0,High,"2024-12-07 15:05:00"
T003,DHAKA3,SENSOR023,50,55.20,0,Low,"2024-12-07 15:10:00"
T004,DHAKA4,SENSOR024,80,35.10,2,High,"2024-12-07 15:15:00"
T005,DHAKA5,SENSOR025,150,42.80,0,Moderate,"2024-12-07 15:20:00"
T006,DHAKA6,SENSOR026,90,48.60,1,Moderate,"2024-12-07 15:25:00"
T007,DHAKA7,SENSOR027,110,50.40,0,Moderate,"2024-12-07 15:30:00"
T008,DHAKA8,SENSOR028,180,38.70,1,High,"2024-12-07 15:35:00"
T009,DHAKA9,SENSOR029,70,60.10,0,Low,"2024-12-07 15:40:00"
T010,DHAKA0,SENSOR030,130,43.90,3,High,"2024-12-07 15:45:00"
T011,DHAKA11,SENSOR031,100,47.30,0,Moderate,"2024-12-07 15:50:00"
T012,DHAKA12,SENSOR032,60,53.40,1,Low,"2024-12-07 15:55:00"
T013,DHAKA13,SENSOR033,140,41.80,2,High,"2024-12-07 16:00:00"
T014,DHAKA14,SENSOR034,220,35.60,3,High,"2024-12-07 16:05:00"
T015,DHAKA15,SENSOR035,90,50.90,0,Moderate,"2024-12-07 16:10:00"
T016,DHAKA16,SENSOR036,180,42.30,0,Moderate,"2024-12-07 16:15:00"
T017,DHAKA17,SENSOR037,120,48.70,1,Moderate,"2024-12-07 16:20:00"
T018,DHAKA18,SENSOR038,110,49.10,0,Moderate,"2024-12-07 16:25:00"
T019,DHAKA19,SENSOR039,160,40.20,2,High,"2024-12-07 16:30:00"
T020,DHAKA20,SENSOR040,130,44.60,0,Moderate,"2024-12-07 16:35:00"
